"path","line","kind","owner","name","status"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","37","PARAMETER","queueJoined(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,int)","waiting","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","44","PARAMETER","queueLeft(net.minecraft.server.level.ServerPlayer,java.lang.String)","reason","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","48","PARAMETER","signedIn(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,long,boolean)","accountId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","48","PARAMETER","signedIn(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,long,boolean)","registered","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","55","PARAMETER","signedOut(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,long)","accountId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","62","PARAMETER","spectateStarted(net.minecraft.server.level.ServerPlayer,java.lang.String)","battleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","69","PARAMETER","spectateEnded(net.minecraft.server.level.ServerPlayer,java.lang.String)","battleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","75","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.ApiEvents","fire","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","75","PARAMETER","fire(java.lang.String,java.lang.Runnable)","event","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","75","PARAMETER","fire(java.lang.String,java.lang.Runnable)","invoke","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattles.java","9","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.CrossServerBattles","INDEX","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattles.java","11","PARAMETER","injecting(java.lang.Runnable)","write","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattles.java","12","PARAMETER","setChoiceRelay(java.util.function.Consumer<xiaocaoawa.minecraft.mod.cobblebattle.battle.CrossServerBattles.ChoiceRelay>)","relay","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattles.java","13","PARAMETER","setOutputRelay(java.util.function.Consumer<xiaocaoawa.minecraft.mod.cobblebattle.battle.CrossServerBattles.ChoiceRelay>)","relay","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattles.java","14","PARAMETER","beginConstruction(xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorBattle)","mirror","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattles.java","16","PARAMETER","claimStart(java.util.UUID)","localBattleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattles.java","17","PARAMETER","isMirror(java.util.UUID)","localBattleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattles.java","18","PARAMETER","get(java.util.UUID)","localBattleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattles.java","19","PARAMETER","localIdFor(java.lang.String)","remoteBattleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattles.java","20","PARAMETER","byRemoteId(java.lang.String)","remoteBattleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattles.java","21","PARAMETER","relayChoices(java.util.UUID,java.lang.String[])","localBattleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattles.java","21","PARAMETER","relayChoices(java.util.UUID,java.lang.String[])","messages","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattles.java","22","PARAMETER","captureOutput(java.util.UUID,java.lang.String)","localBattleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattles.java","23","PARAMETER","forget(java.util.UUID)","localBattleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/EntityBackedRemoteBattleActor.java","11","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.EntityBackedRemoteBattleActor","npc","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/EntityBackedRemoteBattleActor.java","12","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.EntityBackedRemoteBattleActor","initialPos","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/EntityBackedRemoteBattleActor.java","14","PARAMETER","EntityBackedRemoteBattleActor(java.util.UUID,java.lang.String,java.lang.String,java.lang.String,java.util.List<com.cobblemon.mod.common.battles.pokemon.BattlePokemon>,com.cobblemon.mod.common.entity.npc.NPCEntity)","displayName","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/EntityBackedRemoteBattleActor.java","14","PARAMETER","EntityBackedRemoteBattleActor(java.util.UUID,java.lang.String,java.lang.String,java.lang.String,java.util.List<com.cobblemon.mod.common.battles.pokemon.BattlePokemon>,com.cobblemon.mod.common.entity.npc.NPCEntity)","npc","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/EntityBackedRemoteBattleActor.java","14","PARAMETER","EntityBackedRemoteBattleActor(java.util.UUID,java.lang.String,java.lang.String,java.lang.String,java.util.List<com.cobblemon.mod.common.battles.pokemon.BattlePokemon>,com.cobblemon.mod.common.entity.npc.NPCEntity)","originServerId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/EntityBackedRemoteBattleActor.java","14","PARAMETER","EntityBackedRemoteBattleActor(java.util.UUID,java.lang.String,java.lang.String,java.lang.String,java.util.List<com.cobblemon.mod.common.battles.pokemon.BattlePokemon>,com.cobblemon.mod.common.entity.npc.NPCEntity)","seat","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","18","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorBattle","LOGGER","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","19","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorBattle","outputBuffer","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","27","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorBattle","debug","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","31","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorBattle","localBattleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","32","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorBattle","battle","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","38","PARAMETER","spectator(java.lang.String,boolean)","debug","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","38","PARAMETER","spectator(java.lang.String,boolean)","remoteBattleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","43","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean)","remoteBattleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","44","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean)","seat","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","45","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean)","opponentSeat","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","47","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean)","opponentName","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","48","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean)","opponentServerId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","50","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean)","debug","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","56","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean)","remoteBattleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","57","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean)","seat","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","58","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean)","opponentSeat","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","61","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean)","opponentName","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","62","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean)","opponentServerId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","64","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean)","debug","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","70","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean,boolean)","remoteBattleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","71","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean,boolean)","seat","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","72","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean,boolean)","opponentSeat","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","75","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean,boolean)","opponentName","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","76","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean,boolean)","opponentServerId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","78","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean,boolean)","debug","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","131","LOCAL_VARIABLE","route(java.lang.String)","nl","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","132","LOCAL_VARIABLE","route(java.lang.String)","kind","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","136","LOCAL_VARIABLE","route(java.lang.String)","rest","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","137","LOCAL_VARIABLE","route(java.lang.String)","rnl","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","138","LOCAL_VARIABLE","route(java.lang.String)","target","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","144","PARAMETER","attachBody(com.cobblemon.mod.common.entity.npc.NPCEntity,xiaocaoawa.minecraft.mod.cobblebattle.battle.RemoteBattleActor)","actor","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","144","PARAMETER","attachBody(com.cobblemon.mod.common.entity.npc.NPCEntity,xiaocaoawa.minecraft.mod.cobblebattle.battle.RemoteBattleActor)","npc","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","154","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorBattle","attachProp","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","154","PARAMETER","attachProp(com.cobblemon.mod.common.entity.pokemon.PokemonEntity)","entity","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","160","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorBattle","takeProps","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","244","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorBattle","bindLocalId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","244","PARAMETER","bindLocalId(java.util.UUID)","id","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","248","PARAMETER","attach(com.cobblemon.mod.common.api.battles.model.PokemonBattle)","battle","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","256","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorBattle","apply","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","257","LOCAL_VARIABLE","apply(java.lang.String)","id","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorFactory.java","29","CLASS","xiaocaoawa.minecraft.mod.cobblebattle.battle","MirrorFactory","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorFactory.java","69","PARAMETER","MirrorFactory(xiaocaoawa.minecraft.mod.cobblebattle.battle.CrossServerBattleService)","service","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorFactory.java","108","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorFactory","build","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorNpc.java","47","PARAMETER","isOrphan(net.minecraft.world.entity.Entity)","entity","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorNpc.java","60","PARAMETER","spawn(net.minecraft.server.level.ServerPlayer,java.lang.String)","opponentName","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorNpc.java","60","PARAMETER","spawn(net.minecraft.server.level.ServerPlayer,java.lang.String)","viewer","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorNpc.java","67","PARAMETER","spawnPair(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String)","firstName","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorNpc.java","67","PARAMETER","spawnPair(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String)","secondName","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorNpc.java","67","PARAMETER","spawnPair(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String)","viewer","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorNpc.java","170","PARAMETER","despawn(com.cobblemon.mod.common.entity.npc.NPCEntity)","npc","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorPokemon.java","16","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorPokemon","TAG","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorPokemon.java","22","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorPokemon","claim","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorPokemon.java","22","PARAMETER","claim(xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorBattle,java.util.List<com.cobblemon.mod.common.battles.pokemon.BattlePokemon>)","mirror","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorPokemon.java","31","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorPokemon","release","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorPokemon.java","40","PARAMETER","onEntityAdded(net.minecraft.world.entity.Entity)","entity","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteBattleActor.java","16","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.RemoteBattleActor","displayName","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteBattleActor.java","17","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.RemoteBattleActor","originServerId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteBattleActor.java","18","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.RemoteBattleActor","seat","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteBattleActor.java","20","PARAMETER","RemoteBattleActor(java.util.UUID,java.lang.String,java.lang.String,java.lang.String,java.util.List<com.cobblemon.mod.common.battles.pokemon.BattlePokemon>)","displayName","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteBattleActor.java","20","PARAMETER","RemoteBattleActor(java.util.UUID,java.lang.String,java.lang.String,java.lang.String,java.util.List<com.cobblemon.mod.common.battles.pokemon.BattlePokemon>)","originServerId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteBattleActor.java","20","PARAMETER","RemoteBattleActor(java.util.UUID,java.lang.String,java.lang.String,java.lang.String,java.util.List<com.cobblemon.mod.common.battles.pokemon.BattlePokemon>)","seat","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteBattleActor.java","43","PARAMETER","nameOwned(java.lang.String)","name","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteBattleActor.java","47","PARAMETER","sendUpdate(com.cobblemon.mod.common.api.net.NetworkPacket<?>)","packet","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteBattleActor.java","50","PARAMETER","sendMessage(net.minecraft.network.chat.Component)","component","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteBattleActor.java","53","PARAMETER","awardExperience(com.cobblemon.mod.common.battles.pokemon.BattlePokemon,int)","experience","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteBattleActor.java","56","PARAMETER","win(java.util.List<? extends com.cobblemon.mod.common.api.battles.model.actor.BattleActor>,java.util.List<? extends com.cobblemon.mod.common.api.battles.model.actor.BattleActor>)","losers","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteBattleActor.java","56","PARAMETER","win(java.util.List<? extends com.cobblemon.mod.common.api.battles.model.actor.BattleActor>,java.util.List<? extends com.cobblemon.mod.common.api.battles.model.actor.BattleActor>)","otherWinners","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteBattleActor.java","59","PARAMETER","lose(java.util.List<? extends com.cobblemon.mod.common.api.battles.model.actor.BattleActor>,java.util.List<? extends com.cobblemon.mod.common.api.battles.model.actor.BattleActor>)","otherLosers","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteBattleActor.java","59","PARAMETER","lose(java.util.List<? extends com.cobblemon.mod.common.api.battles.model.actor.BattleActor>,java.util.List<? extends com.cobblemon.mod.common.api.battles.model.actor.BattleActor>)","winners","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteTeamCodec.java","70","PARAMETER","decode(java.lang.String)","packed","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/SpectatorFactory.java","29","CLASS","xiaocaoawa.minecraft.mod.cobblebattle.battle","SpectatorFactory","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/SpectatorFactory.java","33","PARAMETER","SpectatorFactory(xiaocaoawa.minecraft.mod.cobblebattle.battle.CrossServerBattleService)","service","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/SpectatorFactory.java","37","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.SpectatorFactory","begin","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/SpectatorFactory.java","204","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.SpectatorFactory","end","待重构"
